que, what,  que
es, is,		ser
y, and,	y
en, in,	en
con, with, con
para, with,		para
mi, my,	mi
está, is,	estar
bien, good,	bien
pero, but, pero
26.	yo	4800	yo
27.	eso	4788	eso
sí, yes,	sí
tu, you,	tu
aquí, here,	aquí
del, of the,		del
al, to the,	al
como, as,		como
más, further/more,	más
esto, this,		esto
ya, already,		ya
todo, all,		todo
esta, this,		esta
vamos, come on,		ir
muy, very,	muy
hay, they have,		haber
ahora, now, ahora
algo, something,		algo
estoy, I'm,		estar
tengo, I go,	tener
49.	nos	2247	nos
50.	tú	2232	tú
nada, nothing, nada
52.	cuando	2098	cuando
53.	ha	2079	haber
54.	este	2069	este
55.	sé	2066	saber
56.	estás	2045	estar
57.	así	2044	así
58.	puedo	1972	poder
59.	cómo	1969	cómo
60.	quiero	1940	querer
61.	sólo	1933	sólo
62.	soy	1913	ser
63.	tiene	1908	tener
gracias, thank you,	gracias
65.	o	1850	o
66.	él	1836	él
bueno, good, bueno
68.	fue	1811	ser ir
69.	ser	1782	ser
70.	hacer	1749	hacer
71.	son	1703	ser
72.	todos	1687	todo
73.	era	1677	ser
74.	eres	1677	ser
75.	vez	1652	vez
76.	tienes	1636	tener
77.	creo	1584	creer
78.	ella	1570	ella
79.	he	1570	haber
80.	ese	1508	ese
81.	voy	1478	ir
82.	puede	1433	poder
83.	sabes	1422	saber
84.	hola	1393	hola
85.	sus	1384	su
86.	porque	1362	porque
87.	dios	1356	dios
88.	quién	1351	quién
89.	nunca	1342	nunca
90.	dónde	1335	dónde
91.	quieres	1331	querer
92.	casa	1330	casa casar
93.	favor	1313	favor
94.	esa	1306	ese
dos, two,		dos
96.	tan	1291	tanto
97.	señor	1289	señor
98.	tiempo	1288	tiempo
verdad, true,		verdad
100.	estaba	1250	estar
101.	mejor	1234	mejor
102.	están	1232	estar
103.	va	1219	ir
hombre, man,		hombre
105.	usted	1218	usted
mucho, much,	mucho
107.	hace	1195	hacer
108.	entonces	1194	entonces
109.	siento	1186	sentir sentar
110.	tenemos	1177	tener
111.	puedes	1134	poder
112.	ahí	1126	ahí
113.	ti	1103	ti
vida, life,		vida
115.	ver	1097	ver
116.	alguien	1046	alguien
117.	sr	1040	señor
118.	hasta	1032	hasta
119.	sin	1029	sin
120.	mí	1022	mí
años, years,	año
123.	sobre	996	sobre
124.	decir	995	decir
125.	uno	993	uno
126.	siempre	986	siempre
127.	oh	985	oh
128.	ir	964	ir
129.	cosas	962	cosa coser
130.	también	962	también
131.	antes	955	antes
132.	has	942	haber
133.	ni	941	ni
134.	mis	937	mi
135.	día	917	día
136.	estar	907	estar
137.	estamos	906	estar
138.	noche	868	noche
139.	nadie	865	nadie
140.	otra	857	otro
141.	quiere	855	querer
142.	parece	851	parecer
143.	nosotros	847	nosotros
144.	poco	844	poco
padre, father,		padre
146.	trabajo	828	trabajo trabajar
147.	gente	827	gente
148.	mira	825	mirar
149.	vas	817	ir
150.	sea	814	ser
151.	les	806	les
152.	donde	806	donde
153.	mismo	796	mismo
154.	hecho	795	hacer hecho
155.	ellos	792	ellos
156.	dijo	770	decir
157.	pasa	751	pasar
dinero, money,	dinero
159.	hijo	728	hijo
160.	tal	724	tal
161.	otro	710	otro
162.	hablar	706	hablar
163.	seguro	704	seguro
164.	claro	699	claro
165.	estas	685	este
166.	lugar	684	lugar
167.	mundo	683	mundo
amigo, friend,	amigo
169.	espera	674	esperar espera
170.	mierda	673	mierda
171.	han	673	haber
172.	tus	670	tu
173.	sabe	669	saber
174.	después	661	después
175.	momento	656	momento
176.	desde	653	desde
177.	fuera	650	fuera ir ser
178.	cosa	648	cosa coser
179.	tipo	647	tipo
mañana, tomorrow/morning,		mañana
181.	podemos	623	poder
182.	dije	617	decir
183.	gran	608	grande
184.	necesito	607	necesitar
185.	estado	597	estar estado
186.	podría	591	poder
187.	acuerdo	591	acordar acuerdo
189.	tener	583	tener
190.	dice	583	decir
191.	mío	581	mío
192.	crees	580	creer
193.	buena	578	bueno buena
194.	gusta	573	gustar
195.	nuestro	573	nuestro
